Gene_ID,Gene_Name
GeneID:72350,Zc2hc1c
GeneID:76411,Ift43
GeneID:238328,Vash1
GeneID:238330,Irf2bpl
GeneID:217734,Pomt2
GeneID:14874,Gstz1
GeneID:18191,Nrxn3
GeneID:75216,Cep128
GeneID:19179,Psmc1
GeneID:100038713,Gm10432
GeneID:217830,9030617O03Rik
GeneID:19141,Lgmn
GeneID:65256,Asb2
GeneID:71907,Serpina9
GeneID:22632,Yy1
GeneID:77271,9430024F10Rik
GeneID:13424,Dync1h1
GeneID:77878,6030440G07Rik
GeneID:217866,Cdc42bpb
GeneID:74190,Exoc3l4
GeneID:101056101,LOC101056101
GeneID:101055828,LOC101055828
GeneID:22355,Vipr2
GeneID:432723,Gm5444
GeneID:71867,1700016G22Rik
GeneID:23849,Klf6
GeneID:69237,Gtpbp4
GeneID:18073,Nid1
GeneID:97884,B3galnt2
GeneID:70430,Tbce
GeneID:14634,Gli3
GeneID:105298,Epdr1
GeneID:20379,Sfrp4
GeneID:22758,Zscan12
GeneID:193453,Gm11292
GeneID:101056226,LOC101056226
GeneID:14957,Hist1h1d
GeneID:319151,Hist1h3e
GeneID:319166,Hist1h2ae
GeneID:319181,Hist1h2bg
GeneID:50708,Hist1h1c
GeneID:214579,Aldh5a1
GeneID:493800,9330162012Rik
GeneID:14756,Gpld1
GeneID:68916,Cdkal1
GeneID:20723,Serpinb9
GeneID:282663,Serpinb1b
GeneID:68021,Bphl
GeneID:22151,Tubb2a
GeneID:432745,4930447K03Rik
GeneID:73102,Slc22a23
GeneID:23986,Eci2
GeneID:12161,Bmp6
GeneID:76137,Mcur1
GeneID:20238,Atxn1
GeneID:67252,Cap2
GeneID:218215,Rnf144b
GeneID:30938,Fgd3
GeneID:23882,Gadd45g
GeneID:218268,Eif4e1b
GeneID:74257,Tspan17
GeneID:67399,Pdlim7
GeneID:72562,Pcbd2
GeneID:56085,Ubqln1
GeneID:328263,A530065N20Rik
GeneID:69635,Dapk1
GeneID:72061,2010111I01Rik
GeneID:14088,Fancc
GeneID:19206,Ptch1
GeneID:218294,Cdc14b
GeneID:66503,1810034E14Rik
GeneID:218333,BC018507
GeneID:218341,Rfesd
GeneID:100043074,Gm4211
GeneID:319983,9330111N05Rik
GeneID:110789,Gpr98
GeneID:67486,Polr3g
GeneID:72852,Mblac2
GeneID:13803,Enc1
GeneID:238803,Zfp366
