Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
HIST1H2BF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIST1H2BN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMGCS1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HNRNPK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HNRNPL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IGBP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IMP3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISCU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISG20L2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KAT8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIF11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIF23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KPNB1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LCE1A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LONP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSM2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSM4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSM5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSM6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSM7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LUC7L3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAD2L1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAK16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAT2A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDN1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MED11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MED31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MED4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MED6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MTBP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MZT1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAA10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAA38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAA50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAPA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NARFL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
